iso3,year,value,indicator description,indicator code
EGY,2000,3.027013617551877,WDI-calculated corruption score share of 148,CC.EST calculated
ERI,2000,6.126278472826143,WDI-calculated corruption score share of 148,CC.EST calculated
ETH,2000,1.730122194723282,WDI-calculated corruption score share of 148,CC.EST calculated
GAB,2000,2.714749346006869,WDI-calculated corruption score share of 148,CC.EST calculated
GHA,2000,4.269384958111787,WDI-calculated corruption score share of 148,CC.EST calculated
GIN,2000,1.2809951798123251,WDI-calculated corruption score share of 148,CC.EST calculated
GMB,2000,3.386797115965384,WDI-calculated corruption score share of 148,CC.EST calculated
GNB,2000,1.703289700904194,WDI-calculated corruption score share of 148,CC.EST calculated
GNQ,2000,0.7729553300255886,WDI-calculated corruption score share of 148,CC.EST calculated
KEN,2000,0.9859605808801404,WDI-calculated corruption score share of 148,CC.EST calculated
LBR,2000,1.1283009701443885,WDI-calculated corruption score share of 148,CC.EST calculated
LBY,2000,1.8923869305785608,WDI-calculated corruption score share of 148,CC.EST calculated
LSO,2000,4.052002168777523,WDI-calculated corruption score share of 148,CC.EST calculated
MAR,2000,3.8384739439603797,WDI-calculated corruption score share of 148,CC.EST calculated
MDG,2000,3.070977405515714,WDI-calculated corruption score share of 148,CC.EST calculated
MLI,2000,1.8185913189163339,WDI-calculated corruption score share of 148,CC.EST calculated
MOZ,2000,2.896423948267228,WDI-calculated corruption score share of 148,CC.EST calculated
MRT,2000,3.0453388006767144,WDI-calculated corruption score share of 148,CC.EST calculated
MUS,2000,5.1930305032095125,WDI-calculated corruption score share of 148,CC.EST calculated
MWI,2000,3.853721206437307,WDI-calculated corruption score share of 148,CC.EST calculated
NAM,2000,6.991389412789253,WDI-calculated corruption score share of 148,CC.EST calculated
NER,2000,1.608337491668611,WDI-calculated corruption score share of 148,CC.EST calculated
NGA,2000,0.42136860609831683,WDI-calculated corruption score share of 148,CC.EST calculated
RWA,2000,2.2724212726241517,WDI-calculated corruption score share of 148,CC.EST calculated
SDN,2000,1.3789491457205336,WDI-calculated corruption score share of 148,CC.EST calculated
