economy,Year,Value,Indicator,IndicatorID
NGA,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
RWA,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
SDN,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
SEN,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
SLE,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
SOM,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
SSD,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
STP,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
SWZ,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
SYC,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
TCD,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
TGO,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
TUN,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
TZA,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
UGA,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
ZAF,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
ZMB,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
ZWE,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
AGO,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
BDI,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
BEN,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
BFA,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
BWA,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
CAF,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
CIV,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
CMR,1963,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
