year,value,iso3,indicator description,indicator code
2020,13531608.695652176,LVA,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,26976156.583629895,LVA,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,583744889.3572181,LVA,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,12001762.247326203,LBY,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,895354.6910755149,LTU,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,0.0,LTU,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,7969104.320337198,LTU,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,1039829.1762013731,LUX,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,295222.47325029655,LUX,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,176623.97759747104,LUX,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,0.0,MYS,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,54626128.14313346,MYS,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,61011763.03209652,MYS,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,5161977.362199982,MLI,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,318993514.2255006,MLT,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,0.0,MUS,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,26678886.208632763,MUS,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,1982215125.5660522,MEX,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,352404.0263013361,MNG,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,4618846.922196797,MNE,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,137014377.73428234,MNE,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,18095260.86406744,MNE,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,0.0,MAR,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,1562964827.2514226,MAR,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,746889444.9846975,MAR,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,94642725.72392172,MMR,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
