economy,year,value,indicator description,indicator code
BEN,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
BFA,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
BWA,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
CAF,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
CIV,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
CMR,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
COD,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
COG,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
COM,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
CPV,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
DJI,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
DZA,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
EGY,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
ERI,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
ETH,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
GAB,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
GHA,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
GIN,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
GMB,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
GNB,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
GNQ,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
KEN,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
LBR,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
LBY,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
LSO,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
MAR,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
MDG,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
MLI,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
MOZ,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
MRT,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
MUS,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
MWI,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
NAM,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
NER,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
NGA,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
RWA,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
SDN,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
SEN,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
SLE,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
SOM,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
SSD,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
STP,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
SWZ,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
SYC,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
TCD,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
TGO,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
TUN,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
TZA,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
UGA,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
ZAF,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
ZMB,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
ZWE,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
AGO,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
BDI,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
BEN,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
BFA,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
BWA,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
CAF,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
CIV,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
CMR,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
COD,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
COG,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
COM,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
CPV,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
DJI,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
DZA,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
EGY,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
ERI,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
ETH,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
GAB,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
GHA,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
GIN,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
GMB,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
GNB,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
GNQ,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
KEN,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
LBR,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
LBY,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
LSO,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
MAR,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
MDG,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
MLI,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
MOZ,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
MRT,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
MUS,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
MWI,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
NAM,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
NER,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
NGA,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
RWA,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
SDN,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
SEN,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
SLE,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
SOM,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
SSD,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
STP,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
SWZ,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
SYC,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
TCD,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
TGO,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
TUN,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
TZA,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
UGA,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
ZAF,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
ZMB,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
ZWE,1963,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
AGO,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
BDI,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
BEN,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
BFA,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
BWA,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
CAF,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
CIV,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
CMR,1964,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
