country_name,iso3,fsi_2011_value,fsi_2013_value,fsi_2015_value,fsi_2018_value,fsi_2020_value,fsi_2022_value,cthi_2019_score,cthi_2021_score,cthi_2019_rank,cthi_2021_rank,cthi_2019_share,cthi_2021_share,sotj20_loss_corp_musd,sotj21_loss_corp_musd,sotj23_loss_corp_musd,sotj20_loss_total_share_healthexpenses,sotj21_loss_total_share_healthexpenses,sotj23_loss_total_musd,sotj23_loss_total_share_healthexpenses
Cyprus,CYP,406.5143262,198.9163,213.938,404.4424,383.3767089,510.050768266449,71.12914214495238,85.34487256599441,18,14,0.0183778037344254,0.0311584755286324,19.53554795831021,0.0000785,171.0,1.54872537916955,1.760097467087003,1102.572326660156,1.486586497655886
Czechia,CZE,,,44.24571,145.1049,163.301549,114.22075002177,58.89175803619047,58.26330409205674,31,37,0.0070997581895843,0.0060757396827536,385.09954940120326,0.000653979993116,678.6799914836884,0.0348877919709123,0.0563553936808874,757.639860868454,0.0481142569709146
Germany,DEU,669.7714873,738.3376,701.8712,768.9534,499.7193618,680.656109360453,52.33767254942857,58.017137480096,24,23,0.0121342996161694,0.0143324116605501,24394.59352067307,0.034188793810086,16213.76581281424,0.1125984927906071,0.1379479690112917,26046.21503156424,0.0738060721702526
Djibouti,DJI,,,,,,,,,,,,,0.0,0.000003,7.25,0.0684533955984349,0.1807438309293223,11.24561166763306,0.3350379832335391
Dominica,DMA,12.45284756,26.94115,21.31418,62.02435,53.75459323,43.8971151015247,,,,,,,0.0,0.00000425,1.0,0.2514145341934758,0.4077044011081909,5.127223491668701,0.2163357584232645
Denmark,DNK,121.6806958,63.11788,38.20438,166.1187,103.5213067,139.920728650272,51.70442714561905,56.42556483980452,36,34,0.0059626115465797,0.0066621935888416,696.0393499654419,0.000867239996058,526.6799971461296,0.0632829020849665,0.074860749218755,1778.091862380505,0.0589871672972894
Dominican Republic,DOM,,193.7889,,147.0888,86.68009359,125.936550498231,,,,,,,91.45097334925606,0.000295650012045,174.69,0.0575932648791898,0.1986396046865794,252.3715872192383,0.1161286174989737
Algeria,DZA,,,,,400.5574352,335.084734486588,,,,,,,434.75,0.00041375,8.58,0.0628803735936494,0.0584393706596427,62.50424392700195,0.0087289175385264
Ecuador,ECU,,,,,50.65986558,72.8240981066744,,42.73615196118458,,66,,0.0009736506557758,255.5054233610554,0.000161699999265,23.25,0.0700942264341515,0.0628890257262455,140.5101928710938,0.0308788503813482
Egypt,EGY,,,,,241.9304224,211.380977536261,,,,,,,2123.341866570833,0.000758474979774,262.5749930441379,0.5126252892046633,0.2022652661757747,438.3702506124973,0.1234932745071633
Eritrea,ERI,,,,,,,,,,,,,0.0,,0.0,0.0478702092822434,0.0642487885500318,1.283261895179749,0.0293757152516957
Western Sahara,ESH,,,,,,,,,,,,,0.0,,,,,,
Spain,ESP,98.79348649,111.3811,77.46602,213.8851,164.2963027,345.885712125912,54.53924898342857,64.80743455808388,27,22,0.0106107072771212,0.0155410597072976,2665.706984058389,0.00535475,4881.25,0.0503768782531437,0.0851329978923245,6424.654174804688,0.0714984905209225
Estonia,EST,,,52.93182,79.46701,46.03418673,46.8513248291558,66.5245014367619,70.0056972601482,39,38,0.0055667873845413,0.0058100477413893,50.8346637093785,0.00008240000123600001,84.40000125765799,0.0531445398414768,0.0775564469091545,97.02481433749196,0.064386806408735
Ethiopia,ETH,,,,,,,,,,,,,362.6585196394751,0.000137400005496,38.4,0.564211309254903,0.2226199420575832,53.42755737304687,0.0823265958148156
Finland,FIN,,,19.43176,142.2335,119.3438966,118.958377851446,55.032484401047626,59.8055860726968,34,32,0.0062270564598163,0.0068692459719245,324.74413459863354,0.000258800003882,292.000004351139,0.0488452588478095,0.0425394623070955,904.9276166558266,0.0462317883745304
Fiji,FJI,,,,,,57.8165245316051,,,,,,,3.5560543167421312,0.000001800000027,7.4,0.0376170953235355,0.0245716686541413,7.955691659450531,0.0609486820876199
Falkland Islands,FLK,,,,,,,,,,,,,0.0,,0.0,,,2.722721099853516,
